username,date,comment,likes,scraped_at,source
selami tataroğlu,16 saat önce,bugün 2026 Ocak .... you tube a. giriyorsun bir müzik proğramı açıyorsun bir yarışma bir dizi bir film bir açık oturum yada haber programı....,0,2026-01-04 13:46:05,USD/TRY
Bombacı Mülayim,16 saat önce,Osman Abim bağcılarda kokoreççi açtı,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,16 saat önce,amaç tek tek hamlelerle uzun vadede toplumu ve ekonomiyi ç ürü. t Mek ti.,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,16 saat önce,akepe. 2002 de iktidara geldi tabi. bu geliş ABD. em rı. ve aklıyla oldu,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,17 saat önce,ATATÜRK ten. gelen. devlet aklı vardır,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,17 saat önce,Türkiye. Suriye. Venezuela İran ırak. vs vs. gibi kişilere bağlı değildir,0,2026-01-04 13:46:05,USD/TRY
umut selçuk yalçın,17 saat önce,Trump kayyumda çıta yi devlet statüsü ne çıkardı Venezuela ya resmen kayyum atadi,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,17 saat önce,oC. in. ve S. si.lm.e.,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,17 saat önce,ATATÜRK'ÜN si. S t E. mi. bi N. yıl. silinemez,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,17 saat önce,boşverin ekonomiyi cumhuriyet dimdik ayakta,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,17 saat önce,25 yılda sadece biraz sallayabildiler,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,17 saat önce,burada Venezuela finali olamaz yakın zamanda ha. i N. siz. yolumuza devam edeceğiz,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,17 saat önce,ama Venezuela ve Türkiye aynı kefeye konulamaz Türkiyenin ATATÜRK ten gelen bir devlet aklı var cumhuriyet temeli var orasıyla burası kıyaslanamaz 🤔,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,17 saat önce,Venezuela da bugün yaşananlar m a DU. ro ABD. ti ya. t r osu nun son sahnesi oldu neredeyse 15 yıldır adım adım ilerleyen bir süreçti. bugün. patladı olay bu ... yani bir sürpriz yok.. aynı t iy atR o. 25 yıldırda Türkiyede oynanıyor,0,2026-01-04 13:46:05,USD/TRY
SEDAT PARK OTEL BEYOĞLU,17 saat önce,Ame ri ga ha di go t hun yiyo sa gel reisi mi al,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,17 saat önce,olanların arkasındaki. toplumsal düzeni görmek bizleri doğruya sevk eder.,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,17 saat önce,sosyoloji tek gerçektir. di n ler. gibi huzur vaad etmez. uyandırır özgürleştirir 🧐🤔🤗,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,17 saat önce,dolayısıyla farkında olmak gerekiyor insanlar siyaset tiyatrolarına prim vermemeli,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,17 saat önce,dil d i. N. ahlak milliyet sınıf..... biz sosyologlar. bunlar doğal değil diyoruz tarihsel toplumsal üretilmiş şeylerdir 🤔,0,2026-01-04 13:46:05,USD/TRY
selami tataroğlu,17 saat önce,doğal sandığınız çoğu şey aslında kurgudur Trump ta tayubda maduroda bir yanılsama ben bunu aylardır söylüyorum,0,2026-01-04 13:46:05,USD/TRY
Tayyar Demleniyo,17 saat önce,O C OTEL Cİ SEDAT BURDAMI,0,2026-01-04 13:46:05,USD/TRY
SEDAT PARK OTEL BEYOĞLU,18 saat önce,İşte şimdi an ladınız mı sn cumhur baskanı mısın deyer ini,0,2026-01-04 13:46:05,USD/TRY
yeşil ninja,18 saat önce,He anladık emekliler olarak,0,2026-01-04 13:46:05,USD/TRY
yeşil ninja,18 saat önce,Dünya madura oldu,0,2026-01-04 13:46:05,USD/TRY
SEDAT PARK OTEL BEYOĞLU,18 saat önce,Madura beye geçmiş olsun diler say gılarımı su narım,0,2026-01-04 13:46:05,USD/TRY
